region,category,pair_id,app_name,sha256
ru,transport_maps,maps,Yandex Maps,899FEA0EBC3F624C8BE992EA5FE1B9DD412DDF8E831F31E94151A59EBA734384
eu,transport_maps,maps,Google Maps,35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C
ru,transport_taxi,taxi,Yandex Go Taxi,8287C5937FC7DA4A35602D3AABA2ECD2045389DE0CBC84899326C55326832958
eu,transport_taxi,taxi,Bolt,B6101DA1A808E1DE0FFB8FFBBA7CEF2229E7DE08AA5D10AA6DE37D629CDF142F
ru,transport_rail,rail1,RZD,F82235296527716D0EFC61D2B5395DE977274E9D91252EBCB932A66276344383
eu,transport_rail,rail1,DB Navigator,36619D4E2EA10AED11E8C77866ED5D167425548B1AD2C6D1EFF2850CA747A7AE
ru,transport_rail,rail2,Yandex Trains,63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A
eu,transport_rail,rail2,Mobiliteit.lu,0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525
ru,ecom_1,ecom1,Ozon,035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE
eu,ecom_1,ecom1,Amazon Shopping,54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A
ru,ecom_2,ecom2,Wildberries,D8885060ADB877C9B12D331FE919192A45BC036AC163F2E794841FA590B2B588
eu,ecom_2,ecom2,Zalando,539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17
ru,ecom_3,ecom3,Yandex Market,9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E
eu,ecom_3,ecom3,bol,D112060FE3DFE0438C210E30CE90669EC9D3EC5AF97D4EDE7BBA46D9A3FC672B
ru,ecom_4,ecom4,Avito,6C4FCC752216A0ED5BE67C058A9ED6CAF1C8CFA70032C107EE23A3E8EF63CE44
eu,ecom_4,ecom4,Vinted,CA9CE3BA252AD0530AABAE16F6CEAF1206C10D352631AECE6C704790F1C285D8
ru,bank_1,bank1,Sberbank,25689DB366425428AB6C683D1ABE2FC7A9DA2C5DE5132F23F1A194619B5AA141
eu,bank_1,bank1,BGL,E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66
ru,bank_2,bank2,Tinkoff,AEB8DD6E08F45707C0250F88B340D52A5DAB11D818C9BDD87DB4D64ACDB69DA5
eu,bank_2,bank2,ING Luxembourg,C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B
ru,bank_3,bank3,Alfa Bank,EE840CCCB173415F19C6C05F77D90483507F5FA6E523452C6347DBFA68CAA106
eu,bank_3,bank3,Revolut,4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D
ru,bank_4,bank4,VTB,DFCA79723F76139789279379A3DCEEDB483E85F8500A53E74B2616A2FC6E7A3B
eu,bank_4,bank4,BILnet,F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B
ru,health,health,EMIAS.INFO,73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C
eu,health,health,Doctena,4A8C965A2C484F664CD4B426BE9F10A40BFF2EBE667A3983F889277BCC1B4C8E
ru,social_1,social1,VK,9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D
eu,social_1,social1,Facebook,AF94CFC4463207594EEBEDEBEE47C5B2455F38BA3611988785FFFBCD87B85302
ru,social_2,social2,OK,79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691
eu,social_2,social2,X,CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB
ru,msg_1,msg1,MAX,0EE9AEE643DEE087F7221212C0BF87B23DD451CDA7589AB3D04339E6E7668745
eu,msg_1,msg1,WhatsApp,3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1
ru,msg_2,msg2,Yandex Telemost,67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E
eu,msg_2,msg2,Telegram,0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F
ru,gov_portal,gov1,Gosuslugi,E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B
eu,gov_portal,gov1,MyGuichet.lu,36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31
ru,gov_tax,gov2,Nalogi FL,69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B
eu,gov_tax,gov2,impots.gouv,20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C
ru,gov_eid,gov3,Gosuslugi Biometria,D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA
eu,gov_eid,gov3,itsme,003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99
