region,library_prefix,apps_with_library
ru,com.yandex.div,7
ru,org.chromium.net,7
ru,com.my.tracker,5
ru,com.yandex.android,4
ru,com.adjust.sdk,3
ru,com.yandex.pay,3
ru,com.theartofdev.edmodo,3
ru,com.my.target,3
ru,com.apollographql.apollo3,2
ru,me.zhanghai.android.materialprogressbar,2
ru,cafe.adriel.voyager,2
ru,com.arkivanov.essenty,2
ru,com.datatheorem.android.trustkit,2
ru,co.nstant.in,2
ru,net.jpountz.lz4,2
ru,io.tus.java.client,1
ru,com.serjltt.moshi,1
ru,app.cash.sqldelight,1
ru,me.dm7.barcodescanner,1
ru,com.bea.xml,1
ru,com.detmir.recycli,1
ru,androidmads.library.qrgenearator,1
ru,com.arkivanov.decompose,1
ru,com.badoo.mobile,1
ru,com.pierfrancescosoffritti.androidyoutubeplayer,1
ru,com.valentinilk.shimmer,1
ru,ru.gildor.coroutines,1
ru,uk.co.samuelwall,1
ru,com.apollographql.apollo,1
ru,com.geetest.captcha,1
ru,app.cash.zipline,1
ru,com.freeletics.rxredux,1
ru,com.sothree.slidinguppanel,1
ru,org.hildan.krossbow,1
ru,com.giphy.sdk,1
ru,me.grishka.appkit,1
ru,org.shredzone.commons,1
ru,at.favre.lib,1
ru,com.koushikdutta.async,1
ru,com.unity3d.ads,1
ru,com.avito.android,1
ru,com.davemorrissey.labs,1
ru,net.pwall.json,1
ru,net.pwall.log,1
ru,net.pwall.util,1
ru,net.pwall.yaml,1
ru,org.ejbca.cvc,1
eu,org.chromium.net,4
eu,com.adjust.sdk,3
eu,com.apollographql.apollo,3
eu,ch.qos.logback,2
eu,org.ejbca.cvc,2
eu,org.ccil.cowan.tagsoup,1
eu,com.polidea.rxandroidble2,1
eu,com.tickaroo.tikxml,1
eu,org.apmem.tools,1
eu,com.optimizely.ab,1
eu,org.iq80.snappy,1
eu,com.h6ah4i.android,1
eu,com.amazon.device,1
eu,com.patloew.colocation,1
eu,com.unity3d.ads,1
eu,com.andraskindler.quickscroll,1
eu,com.sothree.slidinguppanel,1
eu,io.seon.androidsdk,1
eu,com.ryanharter.auto.value,1
eu,app.cash.sqldelight,1
eu,com.arkivanov.decompose,1
eu,com.arkivanov.essenty,1
eu,com.bendb.thrifty,1
eu,com.ionspin.kotlin,1
eu,com.valentinilk.shimmer,1
eu,org.kodein.di,1
eu,org.kodein.type,1
eu,app.cash.turbine,1
